bin,coverage,motif,group,region
137,0.00025025025025025025,G4_3t_long,Retained,right
138,0.0,G4_3t_long,Retained,right
139,0.0,G4_3t_long,Retained,right
0,0.00011907597046915932,G4_3t_short,Spliced,left
1,0.00023815194093831864,G4_3t_short,Spliced,left
2,0.00035722791140747797,G4_3t_short,Spliced,left
3,0.00035722791140747797,G4_3t_short,Spliced,left
4,0.00035722791140747797,G4_3t_short,Spliced,left
5,0.00035722791140747797,G4_3t_short,Spliced,left
6,0.00035722791140747797,G4_3t_short,Spliced,left
7,0.00035722791140747797,G4_3t_short,Spliced,left
8,0.0004763038818766373,G4_3t_short,Spliced,left
9,0.0005953798523457966,G4_3t_short,Spliced,left
10,0.0007144558228149559,G4_3t_short,Spliced,left
11,0.0007144558228149559,G4_3t_short,Spliced,left
12,0.0005953798523457966,G4_3t_short,Spliced,left
13,0.0005953798523457966,G4_3t_short,Spliced,left
14,0.0005953798523457966,G4_3t_short,Spliced,left
15,0.0005953798523457966,G4_3t_short,Spliced,left
16,0.0011907597046915933,G4_3t_short,Spliced,left
17,0.0014289116456299119,G4_3t_short,Spliced,left
18,0.0022624434389140274,G4_3t_short,Spliced,left
19,0.002976899261728983,G4_3t_short,Spliced,left
20,0.031197904262919744,G4_3t_short,Spliced,core
21,0.027149321266968326,G4_3t_short,Spliced,core
22,0.02476780185758514,G4_3t_short,Spliced,core
23,0.021671826625386997,G4_3t_short,Spliced,core
24,0.021790902595856157,G4_3t_short,Spliced,core
25,0.022029054536794476,G4_3t_short,Spliced,core
26,0.021790902595856157,G4_3t_short,Spliced,core
27,0.022148130507263636,G4_3t_short,Spliced,core
28,0.02095737080257204,G4_3t_short,Spliced,core
29,0.021433674684448678,G4_3t_short,Spliced,core
30,0.022029054536794476,G4_3t_short,Spliced,core
31,0.022267206477732792,G4_3t_short,Spliced,core
32,0.022267206477732792,G4_3t_short,Spliced,core
33,0.021909978566325317,G4_3t_short,Spliced,core
34,0.021790902595856157,G4_3t_short,Spliced,core
35,0.02262443438914027,G4_3t_short,Spliced,core
36,0.02321981424148607,G4_3t_short,Spliced,core
37,0.02274351035960943,G4_3t_short,Spliced,core
38,0.02250535841867111,G4_3t_short,Spliced,core
39,0.021552750654917838,G4_3t_short,Spliced,core
40,0.02310073827101691,G4_3t_short,Spliced,core
41,0.022267206477732792,G4_3t_short,Spliced,core
42,0.024053346034770183,G4_3t_short,Spliced,core
43,0.02238628244820195,G4_3t_short,Spliced,core
44,0.02262443438914027,G4_3t_short,Spliced,core
45,0.02321981424148607,G4_3t_short,Spliced,core
46,0.024291497975708502,G4_3t_short,Spliced,core
47,0.023815194093831864,G4_3t_short,Spliced,core
48,0.02286258633007859,G4_3t_short,Spliced,core
49,0.024053346034770183,G4_3t_short,Spliced,core
50,0.02274351035960943,G4_3t_short,Spliced,core
51,0.02262443438914027,G4_3t_short,Spliced,core
52,0.02250535841867111,G4_3t_short,Spliced,core
53,0.02310073827101691,G4_3t_short,Spliced,core
54,0.021552750654917838,G4_3t_short,Spliced,core
55,0.020600142891164564,G4_3t_short,Spliced,core
56,0.02131459871397952,G4_3t_short,Spliced,core
57,0.018933079304596333,G4_3t_short,Spliced,core
58,0.020361990950226245,G4_3t_short,Spliced,core
59,0.021671826625386997,G4_3t_short,Spliced,core
60,0.0210764467730412,G4_3t_short,Spliced,core
61,0.020481066920695404,G4_3t_short,Spliced,core
62,0.020242914979757085,G4_3t_short,Spliced,core
63,0.02083829483210288,G4_3t_short,Spliced,core
64,0.018694927363658013,G4_3t_short,Spliced,core
65,0.018575851393188854,G4_3t_short,Spliced,core
66,0.01929030721600381,G4_3t_short,Spliced,core
67,0.019528459156942127,G4_3t_short,Spliced,core
68,0.0178613955703739,G4_3t_short,Spliced,core
69,0.018456775422719694,G4_3t_short,Spliced,core
70,0.01774231959990474,G4_3t_short,Spliced,core
71,0.01774231959990474,G4_3t_short,Spliced,core
72,0.0178613955703739,G4_3t_short,Spliced,core
73,0.016908787806620623,G4_3t_short,Spliced,core
74,0.016908787806620623,G4_3t_short,Spliced,core
75,0.01595618004286735,G4_3t_short,Spliced,core
76,0.014646344367706596,G4_3t_short,Spliced,core
77,0.014408192426768279,G4_3t_short,Spliced,core
78,0.013455584663015004,G4_3t_short,Spliced,core
79,0.01428911645629912,G4_3t_short,Spliced,core
80,0.013336508692545844,G4_3t_short,Spliced,core
81,0.012622052869730888,G4_3t_short,Spliced,core
82,0.011431293165039295,G4_3t_short,Spliced,core
83,0.01059776137175518,G4_3t_short,Spliced,core
84,0.012026673017385092,G4_3t_short,Spliced,core
85,0.011431293165039295,G4_3t_short,Spliced,core
86,0.011431293165039295,G4_3t_short,Spliced,core
87,0.011550369135508455,G4_3t_short,Spliced,core
88,0.011312217194570135,G4_3t_short,Spliced,core
89,0.01047868540128602,G4_3t_short,Spliced,core
90,0.00881162181471779,G4_3t_short,Spliced,core
91,0.008335317932841153,G4_3t_short,Spliced,core
92,0.00904977375565611,G4_3t_short,Spliced,core
93,0.00904977375565611,G4_3t_short,Spliced,core
94,0.007859014050964515,G4_3t_short,Spliced,core
