class_hls,delta
LL-RIs,385.8828424401296
LL-RIs,384.904202910038
LL-RIs,402.0567338207217
LL-RIs,411.7491033653041
LL-RIs,422.56657384272756
LL-RIs,359.44302899082425
LL-RIs,434.6422401657738
LL-RIs,390.15119340789425
LL-RIs,418.07626083808293
LL-RIs,384.19493435191174
LL-RIs,430.0066395751264
LL-RIs,398.8857526763437
LL-RIs,395.14285636318067
LL-RIs,435.0764210239102
LL-RIs,446.3524744229201
LL-RIs,398.8537698083454
LL-RIs,410.81096432401966
LL-RIs,385.98942321788354
LL-RIs,381.0786172830579
LL-RIs,374.29940093829697
LL-RIs,382.7352757439233
LL-RIs,430.9576260948159
LL-RIs,422.2251452132383
LL-RIs,395.7221562998845
LL-RIs,388.1152753377104
LL-RIs,383.5956495872815
LL-RIs,403.997667016043
LL-RIs,409.3181641183504
LL-RIs,430.6233381393989
LL-RIs,429.2379217618069
LL-RIs,403.63649962619854
LL-RIs,401.14571937960665
LL-RIs,417.97656893738497
LL-RIs,404.99169288027224
LL-RIs,380.2478554845945
LL-RIs,354.41552106698293
LL-RIs,387.41497579463027
LL-RIs,419.5791823152565
LL-RIs,389.67728206844066
LL-RIs,408.51563997423426
LL-RIs,400.08600953679985
LL-RIs,387.49136435812716
LL-RIs,445.35345949505165
LL-RIs,396.7754339187309
LL-RIs,428.8681498010516
LL-RIs,369.66343439147744
LL-RIs,375.1573624942991
LL-RIs,408.4638243491496
LL-RIs,410.3762571013342
LL-RIs,416.5495228385585
LL-RIs,425.0678917248847
LL-RIs,427.7262248647976
LL-RIs,406.1460770145392
LL-RIs,405.71956531177733
LL-RIs,392.92585032370766
LL-RIs,395.3591869587206
LL-RIs,383.47695484911503
LL-RIs,391.560468953866
LL-RIs,442.31881089036307
LL-RIs,391.57122655289123
LL-RIs,429.491185775375
LL-RIs,389.7906903713974
LL-RIs,408.8906216325392
LL-RIs,406.401132301268
LL-RIs,390.99943459576394
LL-RIs,444.6582230169752
LL-RIs,384.1232688090735
LL-RIs,397.8254875041205
LL-RIs,387.7646045373835
LL-RIs,394.7608205029518
LL-RIs,389.41078048651224
LL-RIs,400.23769746427183
LL-RIs,409.7778282678121
LL-RIs,418.67448219277793
LL-RIs,392.56247259775114
LL-RIs,349.4881099797472
LL-RIs,379.53776757976385
LL-RIs,380.6057134119023
LL-RIs,368.55900874061973
LL-RIs,386.4034649042123
LL-RIs,396.20705383777874
LL-RIs,404.94417737058717
LL-RIs,419.3153147535128
LL-RIs,423.0213959047615
LL-RIs,403.02516331472793
LL-RIs,384.9333035630211
LL-RIs,391.30289582107827
LL-RIs,378.8539216098262
LL-RIs,376.0933602069542
LL-RIs,389.0901581273936
LL-RIs,407.29507683438635
LL-RIs,411.56857346397777
LL-RIs,389.4799814339331
LL-RIs,420.79816942002134
LL-RIs,396.4160756983463
LL-RIs,408.3484037276237
LL-RIs,403.1057324008499
LL-RIs,432.3919622656701
LL-RIs,382.5228147285947
LL-RIs,391.65797205188
LL-RIs,444.88176676152113
LL-RIs,409.55138128180437
LL-RIs,385.9129348680047
LL-RIs,416.9962057711097
LL-RIs,408.4297762890591
LL-RIs,412.2251610466423
LL-RIs,397.6399116529875
LL-RIs,382.5049288650826
LL-RIs,387.19386094327035
LL-RIs,382.8196484845866
LL-RIs,446.39114130022597
LL-RIs,387.2998589033758
LL-RIs,396.58968450493006
LL-RIs,400.833915862017
LL-RIs,427.77506758197427
LL-RIs,450.80118884983943
LL-RIs,404.10121606807894
LL-RIs,407.1337392563323
LL-RIs,399.80207871531036
LL-RIs,401.2472131281316
LL-RIs,418.70408430743964
LL-RIs,389.276735022854
LL-RIs,421.03720693269986
LL-RIs,428.078268028923
LL-RIs,413.52940247131755
LL-RIs,385.9869308257501
LL-RIs,417.46119457803155
LL-RIs,393.78729204761345
LL-RIs,424.16499579221977
LL-RIs,409.35234130131727
LL-RIs,374.9868178988607
LL-RIs,412.4284487531661
LL-RIs,398.5256319326491
LL-RIs,421.9754913320692
LL-RIs,402.7978788908738
LL-RIs,403.55423431562144
LL-RIs,400.95170375987345
LL-RIs,397.84035360819945
LL-RIs,409.5361241878562
LL-RIs,411.4176476381889
LL-RIs,385.04001275296906
LL-RIs,406.63729018815076
LL-RIs,430.17517891136157
LL-RIs,364.7441227917584
LL-RIs,407.8415315447843
LL-RIs,388.66186952980496
LL-RIs,393.5179121068289
LL-RIs,372.22971399959806
LL-RIs,397.834235491648
LL-RIs,402.1528173409812
LL-RIs,424.51903820042
LL-RIs,416.65876556992856
LL-RIs,390.76437114836983
LL-RIs,386.4409658652156
LL-RIs,419.35887745360725
LL-RIs,399.60053373583503
LL-RIs,385.68607632459396
LL-RIs,434.52099243956576
LL-RIs,414.0452473072208
LL-RIs,423.0292111084715
LL-RIs,419.2940188909536
LL-RIs,399.9256799579965
LL-RIs,415.10699795902315
LL-RIs,461.70128641895315
LL-RIs,370.2230788847387
LL-RIs,411.83705343952727
LL-RIs,428.8215275217603
LL-RIs,378.2826706635835
LL-RIs,393.2105156986343
LL-RIs,385.5121918904054
LL-RIs,412.92177858783197
LL-RIs,376.20106409180374
LL-RIs,385.94080630161795
LL-RIs,398.90408752384343
LL-RIs,384.3514138101168
LL-RIs,412.4168710888768
LL-RIs,366.3434599062813
LL-RIs,377.0428237478298
LL-RIs,407.7528580587526
LL-RIs,398.7712330682941
LL-RIs,389.0235541171084
LL-RIs,399.2298547132971
LL-RIs,406.18409976520365
LL-RIs,398.5034828525273
LL-RIs,440.48768726843014
LL-RIs,445.96785774470237
LL-RIs,416.6707218490471
LL-RIs,386.6969788057959
LL-RIs,389.71281219308497
LL-RIs,381.19583295492873
LL-RIs,367.44870174872426
LL-RIs,413.5719923039089
LL-RIs,403.6304718750904
LL-RIs,419.98675922111175
LL-RIs,406.7897009448007
LL-RIs,414.6472429618654
LL-RIs,414.3982709584731
LL-RIs,418.1269834018938
LL-RIs,397.5436584783808
LL-RIs,412.25803608883047
LL-RIs,377.952478735639
LL-RIs,403.2490289749716
LL-RIs,399.9662105474487
LL-RIs,367.6780539594733
LL-RIs,368.38234671397487
LL-RIs,423.0160236779134
LL-RIs,381.80626937182683
LL-RIs,433.0974991972154
LL-RIs,422.1937921407527
LL-RIs,423.372135104207
LL-RIs,392.0812242053534
LL-RIs,411.15778273083816
LL-RIs,383.14049202558584
LL-RIs,391.93700538074285
LL-RIs,418.33789725269486
LL-RIs,369.05949848927065
LL-RIs,395.09927035883254
LL-RIs,406.5335123183859
LL-RIs,415.8024111357432
LL-RIs,407.30992686608903
LL-RIs,390.1656954058587
LL-RIs,389.61965377077814
LL-RIs,380.99000543193495
LL-RIs,440.1025430276585
LL-RIs,387.73384395626533
LL-RIs,419.1523711697135
LL-RIs,403.70798243449724
LL-RIs,412.1758447105617
LL-RIs,393.79129807450573
LL-RIs,420.978498247888
LL-RIs,404.1376288075944
LL-RIs,388.91758945070274
LL-RIs,381.53872903248566
LL-RIs,413.9459812760616
LL-RIs,365.06486557612726
LL-RIs,431.64551254021586
LL-RIs,352.0549849555925
LL-RIs,397.81953020674246
LL-RIs,424.92920952484457
LL-RIs,408.5987742869329
LL-RIs,405.3924992196205
LL-RIs,396.0367303383389
LL-RIs,401.59547228867467
LL-RIs,412.44281535027284
LL-RIs,390.50723818674794
LL-RIs,372.9819595050989
LL-RIs,383.43399158095804
LL-RIs,426.87413862076187
LL-RIs,415.48006443781003
LL-RIs,371.7262691527762
LL-RIs,411.3001940078501
LL-RIs,373.4660915588077
LL-RIs,424.3999482909241
LL-RIs,422.0035550110187
LL-RIs,378.4016167728539
LL-RIs,427.1844890991219
LL-RIs,416.7126951318254
LL-RIs,353.7515399960002
LL-RIs,423.7173871008761
LL-RIs,388.6155311257313
LL-RIs,457.6528754179584
LL-RIs,402.541433388395
LL-RIs,397.6183824310696
LL-RIs,393.8995077212041
LL-RIs,373.68332749021613
LL-RIs,430.0421592429202
LL-RIs,397.0144284283481
LL-RIs,360.7246809065654
LL-RIs,427.57648727939244
LL-RIs,409.9370102822366
LL-RIs,402.66588153609706
LL-RIs,402.811602495597
LL-RIs,396.5812611331814
LL-RIs,434.35289434468496
LL-RIs,398.8494972178488
LL-RIs,440.54672380468674
LL-RIs,401.5919023280043
LL-RIs,414.1914415359047
LL-RIs,382.09734719378895
LL-RIs,395.19361748209445
LL-RIs,392.1420107364891
LL-RIs,415.17435864957673
LL-RIs,408.20290530846506
LL-RIs,403.2161633830127
LL-RIs,372.86030643347146
LL-RIs,397.1200889595483
LL-RIs,403.99629868570764
LL-RIs,409.54244729747734
LL-RIs,398.47978386089477
LL-RIs,333.40360850475
LL-RIs,388.403038627281
LL-RIs,410.0590909898728
LL-RIs,375.35517587034093
LL-RIs,402.8014211925878
LL-RIs,444.1783926871339
LL-RIs,377.4759125467848
LL-RIs,395.140379765064
LL-RIs,393.68334641282013
LL-RIs,386.8907943984302
LL-RIs,389.97399560643174
LL-RIs,403.53068159328996
LL-RIs,417.019072158753
LL-RIs,400.90765427896525
LL-RIs,381.40431836171274
LL-RIs,391.9394779375247
LL-RIs,444.97657693256167
LL-RIs,417.35882384643065
LL-RIs,378.4351203470919
LL-RIs,369.9184157252854
LL-RIs,376.4384935806583
LL-RIs,392.1638651969067
LL-RIs,407.0118174000705
LL-RIs,398.1761867949629
LL-RIs,355.9217071026348
LL-RIs,403.13409497353604
