class_ir,delta
Retained,0.4457888216426542
Retained,0.4389461766508212
Retained,0.4020317231406141
Retained,0.4135371357498422
Retained,0.395162445856272
Retained,0.40452535395059114
Retained,0.39043330787048675
Retained,0.3825947323820986
Retained,0.41598500767391555
Retained,0.37539247980608764
Retained,0.36470094859432073
Retained,0.37214293613207516
Retained,0.40362494630882567
Retained,0.3629258518200902
Retained,0.3613697151136268
Retained,0.39066223148020507
Retained,0.38749977859652407
Retained,0.3776897271065702
Retained,0.42353489103496383
Retained,0.4108571151290297
Retained,0.4174308226635072
Retained,0.382642973616854
Retained,0.3896999023691941
Retained,0.4013482303652033
Retained,0.36786475798098883
Retained,0.38173867199816086
Retained,0.3864314401958145
Retained,0.3894744518750393
Retained,0.384747206701442
Retained,0.36894221218942375
Retained,0.3893971591264545
Retained,0.38132232970638275
Retained,0.3759590155710679
Retained,0.38482581109443836
Retained,0.41122430387322667
Retained,0.3797691388196025
Retained,0.42790758437101256
Retained,0.3904961702882071
Retained,0.3567277485466983
Retained,0.4039217309317946
Retained,0.37843093191271715
Retained,0.33337287174566976
Retained,0.3903125886336946
Retained,0.387806492133474
Retained,0.37530299044627824
Retained,0.38257598940912224
Retained,0.37241506214071485
Retained,0.4272130748582376
Retained,0.3197836689740952
Retained,0.37743181612101856
Retained,0.37038258957434284
Retained,0.3982776419827136
Retained,0.39783269879618216
Retained,0.40253908581234177
Retained,0.3789394722722326
Retained,0.3986839046263538
Retained,0.3650089382991799
Retained,0.40116658201832156
Retained,0.4093101647302805
Retained,0.3936612733575236
Retained,0.4111325313742362
Retained,0.40131838928691876
Retained,0.37874075424443593
Retained,0.4018981322564796
Retained,0.3871880805374091
Retained,0.38478928728730566
Retained,0.36565325970964885
Retained,0.40894885696614475
Retained,0.4340351866342514
Retained,0.378794901165683
Retained,0.38315540119041924
Retained,0.41318490475131847
Retained,0.35854436243848353
Retained,0.36878496515357634
Retained,0.3996539218620072
Retained,0.40506842290687345
Retained,0.3826069541658203
Retained,0.36859731140557106
Retained,0.3467079437580416
Retained,0.35035182559967243
Retained,0.38141260501772983
Retained,0.4233093277334726
Retained,0.3701429658301598
Retained,0.4115893672974252
Retained,0.41180669372565387
Retained,0.38516445536899707
Retained,0.36668424884045764
Retained,0.3954998267562571
Retained,0.4202124126505643
Retained,0.42002640160333643
Retained,0.3505695823235166
Retained,0.4213092844883873
Retained,0.3875609647145131
Retained,0.4162039181584244
Retained,0.3757557188243664
Retained,0.4001501850751703
Retained,0.38869561179450124
Retained,0.4309338044531759
Retained,0.3884372322105665
Retained,0.33989397991392745
Retained,0.36385054235845804
Retained,0.4040795145803125
Retained,0.36896334723433866
Retained,0.3652266007062516
Retained,0.38885755414703205
Retained,0.40512613501373423
Retained,0.4048803955448389
Retained,0.3811963977928418
Retained,0.39237695782609117
Retained,0.41322417543089246
Retained,0.3502055860515645
Retained,0.39575943027248245
Retained,0.3749362822871406
Retained,0.380996881149268
Retained,0.43022236032891553
Retained,0.40682268361597906
Retained,0.36111048202385276
Retained,0.3805195225674305
Retained,0.37955146300667403
Retained,0.381748890786228
Retained,0.3815168389021743
Retained,0.3994028220049346
Retained,0.3664833036662358
Retained,0.3605148894983679
Retained,0.38308237246287735
Retained,0.38512923649891073
Retained,0.3874651089455197
Retained,0.3792253576606207
Retained,0.38120973707340444
Retained,0.37567775704778583
Retained,0.38890478158830183
Retained,0.37014583081671243
Retained,0.3989748070389391
Retained,0.3915025699694451
Retained,0.4239392480924075
Retained,0.42458922284716916
Retained,0.3893961226597661
Retained,0.39569923077646846
Retained,0.38292982650110763
Retained,0.4034847451773502
Retained,0.38090824439581
Retained,0.36001334563113685
Retained,0.3630525569883236
Retained,0.37858638239530246
Retained,0.4149092706184517
Retained,0.3915781130803841
Retained,0.42329443277337286
Retained,0.41380976950039616
Retained,0.3973606988142822
Retained,0.3843877954429381
Retained,0.4118955040309472
Retained,0.42945121067356307
Retained,0.39999512681591637
Retained,0.3652791591934356
